frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
535,83.667,0.5459,0.8837,147.38,424.16,58,10,47,10,30,28
536,83.733,0.5459,0.8837,147.38,424.16,48,6,42,6,21,27
537,83.8,0.5459,0.8837,147.38,424.16,49,13,36,13,22,27
538,83.867,0.5591,0.8842,150.95,424.42,51,8,42,8,24,27
539,83.933,0.5591,0.8842,150.95,424.42,52,9,43,9,22,30
540,84,0.5486,0.8841,148.12,424.36,52,13,39,13,25,27
541,84.067,0.5315,0.8836,143.5,424.14,48,5,43,5,20,28
542,84.133,0.5144,0.8841,138.88,424.36,51,9,42,9,23,28
543,84.2,0.4949,0.8837,133.62,424.16,50,7,43,7,22,28
544,84.267,0.4794,0.8838,129.43,424.23,52,9,43,9,24,28
545,84.333,0.4725,0.8838,127.57,424.23,55,10,44,10,27,28
546,84.4,0.4725,0.8838,127.57,424.23,59,9,50,9,31,28
547,84.467,0.4725,0.8838,127.57,424.23,51,11,40,11,23,28
548,84.533,0.4725,0.8838,127.57,424.23,59,10,49,10,30,29
549,84.6,0.4725,0.8838,127.57,424.23,55,6,49,6,27,28
550,84.667,0.4725,0.8838,127.57,424.23,63,8,54,8,33,30
551,84.733,0.4725,0.8838,127.57,424.23,60,11,48,11,33,27
552,84.8,0.4725,0.8838,127.57,424.23,59,8,50,8,30,29
553,84.867,0.4725,0.8838,127.57,424.23,59,13,45,13,30,29
554,84.933,0.4594,0.8842,124.05,424.42,49,7,41,7,23,26
555,85,0.4426,0.8836,119.5,424.14,47,11,36,11,23,24
556,85.067,0.4426,0.8836,119.5,424.14,45,13,31,13,22,23
557,85.133,0.4426,0.8836,119.5,424.14,49,11,38,11,24,25
558,85.2,0.4426,0.8836,119.5,424.14,55,11,41,11,31,24
559,85.267,0.4426,0.8836,119.5,424.14,49,11,37,11,26,23
560,85.333,0.4426,0.8836,119.5,424.14,42,5,37,5,20,22
561,85.4,0.4426,0.8836,119.5,424.14,44,10,32,10,21,23
562,85.467,0.4371,0.8843,118.02,424.47,49,10,38,10,26,23
563,85.533,0.4204,0.8836,113.5,424.14,52,11,39,11,29,23
564,85.6,0.4124,0.8838,111.35,424.24,63,13,50,13,36,27
565,85.667,0.4124,0.8838,111.35,424.24,53,11,42,11,28,25
